Date,GDP
2019-08-26,708
2019-08-27,702
2019-08-28,715
2019-08-29,711
2019-08-30,714
2019-08-31,715
2019-09-01,711
2019-09-02,716
2019-09-03,715
2019-09-04,710
2019-09-05,712
2019-09-06,711
2019-09-07,712
2019-09-08,710
2019-09-09,715
2019-09-10,715
2019-09-11,712
2019-09-12,713
2019-09-13,710
2019-09-14,711
2019-09-15,713
2019-09-16,713
2019-09-17,710
2019-09-18,714
2019-09-19,716
2019-09-20,712
2019-09-21,715
2019-09-22,711
2019-09-23,713
2019-09-24,714
2019-09-25,715
2019-09-26,709
2019-09-27,713
2019-09-28,715
2019-09-29,719
2019-09-30,718
2019-10-01,716
2019-10-02,714
2019-10-03,715
2019-10-04,715
2019-10-05,719
2019-10-06,719
2019-10-07,714
2019-10-08,714
2019-10-09,718
2019-10-10,714
2019-10-11,719
2019-10-12,718
2019-10-13,714
2019-10-14,717
2019-10-15,716
2019-10-16,716
2019-10-17,717
2019-10-18,716
2019-10-19,716
2019-10-20,714
2019-10-21,716
2019-10-22,714
2019-10-23,716
2019-10-24,714
2019-10-25,714
2019-10-26,720
2019-10-27,722
2019-10-28,720
2019-10-29,722
2019-10-30,720
2019-10-31,719
2019-11-01,723
2019-11-02,724
2019-11-03,724
2019-11-04,722
2019-11-05,720
2019-11-06,723
2019-11-07,722
2019-11-08,719
2019-11-09,719
2019-11-10,723
2019-11-11,720
2019-11-12,721
2019-11-13,720
2019-11-14,719
2019-11-15,735
2019-11-16,730
2019-11-17,730
2019-11-18,727
2019-11-19,726
2019-11-20,728
2019-11-21,727
2019-11-22,727
2019-11-23,730
2019-11-24,729
2019-11-25,730
2019-11-26,728
2019-11-27,729
2019-11-28,730
2019-11-29,727
2019-11-30,727
2019-12-01,727
2019-12-02,727
2019-12-03,725
2019-12-04,727
2019-12-05,726
2019-12-06,730
2019-12-07,728
2019-12-08,730
2019-12-09,728
2019-12-10,714
2019-12-11,714
2019-12-12,715
2019-12-13,712
2019-12-14,715
2019-12-15,715
2019-12-16,715
2019-12-17,715
2019-12-18,713
2019-12-19,714
2019-12-20,712
2019-12-21,712
2019-12-22,713
2019-12-23,715
2019-12-24,711
2019-12-25,710
2019-12-26,715
2019-12-27,725
2019-12-28,740
2019-12-29,735
2019-12-30,731
2019-12-31,732
2020-01-01,730
2020-01-02,728
2020-01-03,728
2020-01-04,728
2020-01-05,728
2020-01-06,729
2020-01-07,728
2020-01-08,732
2020-01-09,729
2020-01-10,731
2020-01-11,731
2020-01-12,732
2020-01-13,730
2020-01-14,731
2020-01-15,730
2020-01-16,733
2020-01-17,733
2020-01-18,731
2020-01-19,729
2020-01-20,729
2020-01-21,730
2020-01-22,732
2020-01-23,731
2020-01-24,732
2020-01-25,738
2020-01-26,739
2020-01-27,738
2020-01-28,740
2020-01-29,741
2020-01-30,740
2020-01-31,737
2020-02-01,740
2020-02-02,739
2020-02-03,736
2020-02-04,738
2020-02-05,740
2020-02-06,737
2020-02-07,740
2020-02-08,737
2020-02-09,740
2020-02-10,740
2020-02-11,737
2020-02-12,737
2020-02-13,738
2020-02-14,737
2020-02-15,739
2020-02-16,738
2020-02-17,739
2020-02-18,741
2020-02-19,740
2020-02-20,739
2020-02-21,741
2020-02-22,736
2020-02-23,737
2020-02-24,733
2020-02-25,734
2020-02-26,735
2020-02-27,737
2020-02-28,735
2020-02-29,732
2020-03-01,731
2020-03-02,733
2020-03-03,734
2020-03-04,736
2020-03-05,732
2020-03-06,735
2020-03-07,733
2020-03-08,735
2020-03-09,737
2020-03-10,731
2020-03-11,733
2020-03-12,736
2020-03-13,734
2020-03-14,733
2020-03-15,731
2020-03-16,731
2020-03-17,737
2020-03-18,733
2020-03-19,737
2020-03-20,736
2020-03-21,733
2020-03-22,730
2020-03-23,729
2020-03-24,731
2020-03-25,731
2020-03-26,730
2020-03-27,733
2020-03-28,731
2020-03-29,731
2020-03-30,733
2020-03-31,730
2020-04-01,729
2020-04-02,732
2020-04-03,731
2020-04-04,732
2020-04-05,732
2020-04-06,733
2020-04-07,731
2020-04-08,731
2020-04-09,730
2020-04-10,732
2020-04-11,730
2020-04-12,733
2020-04-13,730
2020-04-14,731
2020-04-15,729
2020-04-16,732
2020-04-17,729
2020-04-18,733
2020-04-19,732
2020-04-20,732
2020-04-21,733
2020-04-22,729
2020-04-23,731
2020-04-24,731
2020-04-25,725
2020-04-26,725
2020-04-27,722
2020-04-28,721
2020-04-29,728
2020-04-30,725
2020-05-01,726
2020-05-02,728
2020-05-03,728
2020-05-04,726
2020-05-05,726
2020-05-06,723
2020-05-07,722
2020-05-08,726
2020-05-09,722
2020-05-10,723
2020-05-11,728
2020-05-12,725
2020-05-13,728
2020-05-14,729
2020-05-15,722
2020-05-16,724
2020-05-17,727
2020-05-18,728
2020-05-19,729
2020-05-20,728
2020-05-21,726
2020-05-22,729
2020-05-23,721
2020-05-24,728
2020-05-25,722
2020-05-26,728
2020-05-27,722
2020-05-28,724
2020-05-29,722
2020-05-30,729
2020-05-31,727
2020-06-01,717
2020-06-02,713
2020-06-03,713
2020-06-04,716
2020-06-05,711
2020-06-06,715
2020-06-07,715
2020-06-08,715
2020-06-09,716
2020-06-10,713
2020-06-11,712
2020-06-12,711
2020-06-13,713
2020-06-14,714
2020-06-15,713
2020-06-16,713
2020-06-17,717
2020-06-18,713
2020-06-19,711
2020-06-20,715
2020-06-21,720
