Date,GDP
2019-08-26,400
2019-08-27,401
2019-08-28,400
2019-08-29,398
2019-08-30,415
2019-08-31,399
2019-09-01,411
2019-09-02,400
2019-09-03,402
2019-09-04,405
2019-09-05,397
2019-09-06,408
2019-09-07,410
2019-09-08,407
2019-09-09,395
2019-09-10,397
2019-09-11,399
2019-09-12,405
2019-09-13,400
2019-09-14,402
2019-09-15,404
2019-09-16,409
2019-09-17,407
2019-09-18,409
2019-09-19,407
2019-09-20,405
2019-09-21,407
2019-09-22,404
2019-09-23,406
2019-09-24,405
2019-09-25,407
2019-09-26,400
2019-09-27,415
2019-09-28,420
2019-09-29,419
2019-09-30,415
2019-10-01,416
2019-10-02,415
2019-10-03,417
2019-10-04,418
2019-10-05,418
2019-10-06,417
2019-10-07,416
2019-10-08,416
2019-10-09,410
2019-10-10,408
2019-10-11,405
2019-10-12,410
2019-10-13,407
2019-10-14,409
2019-10-15,408
2019-10-16,407
2019-10-17,409
2019-10-18,410
2019-10-19,405
2019-10-20,410
2019-10-21,410
2019-10-22,408
2019-10-23,409
2019-10-24,409
2019-10-25,405
2019-10-26,410
2019-10-27,400
2019-10-28,395
2019-10-29,399
2019-10-30,397
2019-10-31,402
2019-11-01,408
2019-11-02,399
2019-11-03,400
2019-11-04,400
2019-11-05,395
2019-11-06,398
2019-11-07,397
2019-11-08,395
2019-11-09,397
2019-11-10,398
2019-11-11,398
2019-11-12,395
2019-11-13,398
2019-11-14,397
2019-11-15,400
2019-11-16,395
2019-11-17,401
2019-11-18,401
2019-11-19,399
2019-11-20,403
2019-11-21,402
2019-11-22,399
2019-11-23,399
2019-11-24,404
2019-11-25,404
2019-11-26,402
2019-11-27,400
2019-11-28,402
2019-11-29,403
2019-11-30,404
2019-12-01,399
2019-12-02,401
2019-12-03,410
2019-12-04,412
2019-12-05,412
2019-12-06,414
2019-12-07,410
2019-12-08,414
2019-12-09,410
2019-12-10,412
2019-12-11,412
2019-12-12,411
2019-12-13,415
2019-12-14,413
2019-12-15,414
2019-12-16,412
2019-12-17,410
2019-12-18,407
2019-12-19,405
2019-12-20,410
2019-12-21,408
2019-12-22,405
2019-12-23,406
2019-12-24,405
2019-12-25,410
2019-12-26,407
2019-12-27,409
2019-12-28,410
2019-12-29,410
2019-12-30,406
2019-12-31,407
2020-01-01,410
2020-01-02,404
2020-01-03,405
2020-01-04,402
2020-01-05,404
2020-01-06,401
2020-01-07,405
2020-01-08,401
2020-01-09,405
2020-01-10,405
2020-01-11,402
2020-01-12,405
2020-01-13,402
2020-01-14,403
2020-01-15,403
2020-01-16,404
2020-01-17,403
2020-01-18,402
2020-01-19,395
2020-01-20,395
2020-01-21,401
2020-01-22,396
2020-01-23,396
2020-01-24,399
2020-01-25,400
2020-01-26,398
2020-01-27,396
2020-01-28,398
2020-01-29,397
2020-01-30,398
2020-01-31,397
2020-02-01,425
2020-02-02,426
2020-02-03,427
2020-02-04,426
2020-02-05,430
2020-02-06,429
2020-02-07,425
2020-02-08,428
2020-02-09,428
2020-02-10,430
2020-02-11,428
2020-02-12,429
2020-02-13,428
2020-02-14,429
2020-02-15,428
2020-02-16,430
2020-02-17,430
2020-02-18,430
2020-02-19,436
2020-02-20,435
2020-02-21,435
2020-02-22,435
2020-02-23,437
2020-02-24,440
2020-02-25,436
2020-02-26,436
2020-02-27,436
2020-02-28,435
2020-02-29,440
2020-03-01,438
2020-03-02,439
2020-03-03,436
2020-03-04,438
2020-03-05,439
2020-03-06,435
2020-03-07,438
2020-03-08,439
2020-03-09,438
2020-03-10,435
2020-03-11,437
2020-03-12,434
2020-03-13,431
2020-03-14,434
2020-03-15,432
2020-03-16,429
2020-03-17,429
2020-03-18,434
2020-03-19,434
2020-03-20,431
2020-03-21,431
2020-03-22,430
2020-03-23,432
2020-03-24,429
2020-03-25,431
2020-03-26,428
2020-03-27,435
2020-03-28,428
2020-03-29,430
2020-03-30,421
2020-03-31,425
2020-04-01,425
2020-04-02,417
2020-04-03,420
2020-04-04,419
2020-04-05,422
2020-04-06,416
2020-04-07,424
2020-04-08,415
2020-04-09,419
2020-04-10,424
2020-04-11,424
2020-04-12,420
2020-04-13,423
2020-04-14,419
2020-04-15,423
2020-04-16,420
2020-04-17,415
2020-04-18,417
2020-04-19,419
2020-04-20,421
2020-04-21,413
2020-04-22,409
2020-04-23,409
2020-04-24,414
2020-04-25,409
2020-04-26,411
2020-04-27,413
2020-04-28,409
2020-04-29,413
2020-04-30,411
2020-05-01,412
2020-05-02,412
2020-05-03,412
2020-05-04,410
2020-05-05,408
2020-05-06,408
2020-05-07,406
2020-05-08,409
2020-05-09,408
2020-05-10,410
2020-05-11,406
2020-05-12,410
2020-05-13,408
2020-05-14,406
2020-05-15,411
2020-05-16,405
2020-05-17,411
2020-05-18,410
2020-05-19,406
2020-05-20,411
2020-05-21,407
2020-05-22,409
2020-05-23,409
2020-05-24,403
2020-05-25,405
2020-05-26,405
2020-05-27,406
2020-05-28,404
2020-05-29,405
2020-05-30,407
2020-05-31,408
2020-06-01,403
2020-06-02,407
2020-06-03,408
2020-06-04,404
2020-06-05,404
2020-06-06,406
2020-06-07,406
2020-06-08,403
2020-06-09,399
2020-06-10,402
2020-06-11,405
2020-06-12,401
2020-06-13,404
2020-06-14,403
2020-06-15,399
2020-06-16,404
2020-06-17,405
2020-06-18,399
2020-06-19,403
2020-06-20,398
2020-06-21,400
