Date,GDP
2019-04-30,285
2019-05-01,286
2019-05-02,284
2019-05-03,282
2019-05-04,281
2019-05-05,283
2019-05-06,285
2019-05-07,288
2019-05-08,287
2019-05-09,289
2019-05-10,290
2019-05-11,287
2019-05-12,289
2019-05-13,291
2019-05-14,294
2019-05-15,296
2019-05-16,297
2019-05-17,295
2019-05-18,298
2019-05-19,299
2019-05-20,301
2019-05-21,299
2019-05-22,297
2019-05-23,295
2019-05-24,297
2019-05-25,299
2019-05-26,302
2019-05-27,304
2019-05-28,306
2019-05-29,304
2019-05-30,302
2019-05-31,305
2019-06-01,308
2019-06-02,309
2019-06-03,309
2019-06-04,311
2019-06-05,310
2019-06-06,309
2019-06-07,312
2019-06-08,315
2019-06-09,317
2019-06-10,314
2019-06-11,318
2019-06-12,321
2019-06-13,319
2019-06-14,321
2019-06-15,318
2019-06-16,322
2019-06-17,325
2019-06-18,324
2019-06-19,327
2019-06-20,329
2019-06-21,331
2019-06-22,335
2019-06-23,333
2019-06-24,337
2019-06-25,336
2019-06-26,338
2019-06-27,341
2019-06-28,345
2019-06-29,339
2019-06-30,342
2019-07-01,344
2019-07-02,347
2019-07-03,349
2019-07-04,347
2019-07-05,350
2019-07-06,351
2019-07-07,354
2019-07-08,354
2019-07-09,356
2019-07-10,358
2019-07-11,355
2019-07-12,359
2019-07-13,361
2019-07-14,364
2019-07-15,366
2019-07-16,362
2019-07-17,365
2019-07-18,368
2019-07-19,371
2019-07-20,372
2019-07-21,377
2019-07-22,374
2019-07-23,376
2019-07-24,375
2019-07-25,377
2019-07-26,379
2019-07-27,380
2019-07-28,379
2019-07-29,377
2019-07-30,381
2019-07-31,384
2019-08-01,386
2019-08-02,384
2019-08-03,388
2019-08-04,385
2019-08-05,384
2019-08-06,389
2019-08-07,391
2019-08-08,392
2019-08-09,394
2019-08-10,391
2019-08-11,395
2019-08-12,399
2019-08-13,398
2019-08-14,401
2019-08-15,405
2019-08-16,403
2019-08-17,407
2019-08-18,411
2019-08-19,415
2019-08-20,417
2019-08-21,415
2019-08-22,419
2019-08-23,421
2019-08-24,418
2019-08-25,423
2019-08-26,425
2019-08-27,427
2019-08-28,424
2019-08-29,423
2019-08-30,426
2019-08-31,431
2019-09-01,434
2019-09-02,437
2019-09-03,433
2019-09-04,439
2019-09-05,445
2019-09-06,447
2019-09-07,448
2019-09-08,454
2019-09-09,446
2019-09-10,442
2019-09-11,444
2019-09-12,440
2019-09-13,445
2019-09-14,441
2019-09-15,438
2019-09-16,435
2019-09-17,441
2019-09-18,445
2019-09-19,447
2019-09-20,451
2019-09-21,447
2019-09-22,449
2019-09-23,454
2019-09-24,455
2019-09-25,459
2019-09-26,457
2019-09-27,459
2019-09-28,462
2019-09-29,466
2019-09-30,467
2019-10-01,465
2019-10-02,460
2019-10-03,461
2019-10-04,456
2019-10-05,451
2019-10-06,448
2019-10-07,449
2019-10-08,444
2019-10-09,449
2019-10-10,441
2019-10-11,435
2019-10-12,433
2019-10-13,432
2019-10-14,428
2019-10-15,426
2019-10-16,429
2019-10-17,419
2019-10-18,415
2019-10-19,409
2019-10-20,404
2019-10-21,409
2019-10-22,407
2019-10-23,405
2019-10-24,406
2019-10-25,404
2019-10-26,403
2019-10-27,401
2019-10-28,398
2019-10-29,396
2019-10-30,399
2019-10-31,395
2019-11-01,394
2019-11-02,392
2019-11-03,394
2019-11-04,397
2019-11-05,399
2019-11-06,398
2019-11-07,401
2019-11-08,402
2019-11-09,405
2019-11-10,407
2019-11-11,409
2019-11-12,410
2019-11-13,407
2019-11-14,405
2019-11-15,404
2019-11-16,406
2019-11-17,406
2019-11-18,409
2019-11-19,404
2019-11-20,407
2019-11-21,403
2019-11-22,408
2019-11-23,402
2019-11-24,405
2019-11-25,408
2019-11-26,403
2019-11-27,408
2019-11-28,406
2019-11-29,407
2019-11-30,405
2019-12-01,402
2019-12-02,404
2019-12-03,405
2019-12-04,403
2019-12-05,409
2019-12-06,410
2019-12-07,407
2019-12-08,410
2019-12-09,408
2019-12-10,404
2019-12-11,409
2019-12-12,403
2019-12-13,406
2019-12-14,407
2019-12-15,405
2019-12-16,402
2019-12-17,401
2019-12-18,398
2019-12-19,397
2019-12-20,395
2019-12-21,398
2019-12-22,394
2019-12-23,391
2019-12-24,394
2019-12-25,391
2019-12-26,389
2019-12-27,392
2019-12-28,387
2019-12-29,384
2019-12-30,385
2019-12-31,387
2020-01-01,384
2020-01-02,383
2020-01-03,385
2020-01-04,387
2020-01-05,383
2020-01-06,381
2020-01-07,379
2020-01-08,378
2020-01-09,381
2020-01-10,377
2020-01-11,375
2020-01-12,379
2020-01-13,375
2020-01-14,374
2020-01-15,377
2020-01-16,373
2020-01-17,371
2020-01-18,368
2020-01-19,371
2020-01-20,374
2020-01-21,375
2020-01-22,377
2020-01-23,376
2020-01-24,372
2020-01-25,369
2020-01-26,365
2020-01-27,371
2020-01-28,369
2020-01-29,365
2020-01-30,364
2020-01-31,369
2020-02-01,371
2020-02-02,365
2020-02-03,361
2020-02-04,363
2020-02-05,359
2020-02-06,354
2020-02-07,355
2020-02-08,354
2020-02-09,358
2020-02-10,352
2020-02-11,349
2020-02-12,348
2020-02-13,344
2020-02-14,349
2020-02-15,347
2020-02-16,344
2020-02-17,342
2020-02-18,341
2020-02-19,339
2020-02-20,333
2020-02-21,339
2020-02-22,338
2020-06-24,300
