Date,GDP
2019-04-30,501
2019-05-01,501
2019-05-02,504
2019-05-03,505
2019-05-04,502
2019-05-05,505
2019-05-06,504
2019-05-07,503
2019-05-08,501
2019-05-09,501
2019-05-10,501
2019-05-11,503
2019-05-12,505
2019-05-13,502
2019-05-14,501
2019-05-15,504
2019-05-16,501
2019-05-17,504
2019-05-18,501
2019-05-19,503
2019-05-20,501
2019-05-21,503
2019-05-22,500
2019-05-23,503
2019-05-24,502
2019-05-25,503
2019-05-26,503
2019-05-27,504
2019-05-28,505
2019-05-29,505
2019-05-30,503
2019-05-31,502
2019-06-01,500
2019-06-02,504
2019-06-03,514
2019-06-04,514
2019-06-05,515
2019-06-06,515
2019-06-07,512
2019-06-08,515
2019-06-09,512
2019-06-10,511
2019-06-11,512
2019-06-12,510
2019-06-13,513
2019-06-14,515
2019-06-15,514
2019-06-16,514
2019-06-17,512
2019-06-18,514
2019-06-19,515
2019-06-20,514
2019-06-21,510
2019-06-22,513
2019-06-23,512
2019-06-24,512
2019-06-25,510
2019-06-26,511
2019-06-27,515
2019-06-28,510
2019-06-29,512
2019-06-30,512
2019-07-01,510
2019-07-02,510
2019-07-03,511
2019-07-04,511
2019-07-05,511
2019-07-06,515
2019-07-07,513
2019-07-08,515
2019-07-09,514
2019-07-10,510
2019-07-11,514
2019-07-12,514
2019-07-13,515
2019-07-14,513
2019-07-15,515
2019-07-16,511
2019-07-17,513
2019-07-18,514
2019-07-19,514
2019-07-20,510
2019-07-21,514
2019-07-22,510
2019-07-23,514
2019-07-24,512
2019-07-25,514
2019-07-26,514
2019-07-27,515
2019-07-28,510
2019-07-29,510
2019-07-30,514
2019-07-31,513
2019-08-01,515
2019-08-02,510
2019-08-03,515
2019-08-04,501
2019-08-05,504
2019-08-06,502
2019-08-07,505
2019-08-08,505
2019-08-09,500
2019-08-10,503
2019-08-11,503
2019-08-12,500
2019-08-13,505
2019-08-14,505
2019-08-15,501
2019-08-16,502
2019-08-17,505
2019-08-18,502
2019-08-19,504
2019-08-20,502
2019-08-21,500
2019-08-22,504
2019-08-23,503
2019-08-24,502
2019-08-25,504
2019-08-26,503
2019-08-27,503
2019-08-28,502
2019-08-29,502
2019-08-30,501
2019-08-31,500
2019-09-01,505
2019-09-02,500
2019-09-03,501
2019-09-04,503
2019-09-05,500
2019-09-06,502
2019-09-07,503
2019-09-08,503
2019-09-09,503
2019-09-10,502
2019-09-11,505
2019-09-12,504
2019-09-13,502
2019-09-14,505
2019-09-15,501
2019-09-16,503
2019-09-17,504
2019-09-18,523
2019-09-19,522
2019-09-20,520
2019-09-21,520
2019-09-22,520
2019-09-23,524
2019-09-24,522
2019-09-25,520
2019-09-26,525
2019-09-27,521
2019-09-28,524
2019-09-29,521
2019-09-30,525
2019-10-01,521
2019-10-02,522
2019-10-03,524
2019-10-04,523
2019-10-05,522
2019-10-06,524
2019-10-07,524
2019-10-08,524
2019-10-09,520
2019-10-10,525
2019-10-11,521
2019-10-12,521
2019-10-13,525
2019-10-14,522
2019-10-15,521
2019-10-16,520
2019-10-17,525
2019-10-18,520
2019-10-19,520
2019-10-20,525
2019-10-21,521
2019-10-22,524
2019-10-23,524
2019-10-24,524
2019-10-25,525
2019-10-26,520
2019-10-27,523
2019-10-28,520
2019-10-29,520
2019-10-30,521
2019-10-31,522
2019-11-01,520
2019-11-02,520
2019-11-03,522
2019-11-04,524
2019-11-05,520
2019-11-06,524
2019-11-07,525
2019-11-08,523
2019-11-09,523
2019-11-10,524
2019-11-11,525
2019-11-12,520
2019-11-13,522
2019-11-14,523
2019-11-15,524
2019-11-16,522
2019-11-17,525
2019-11-18,522
2019-11-19,525
2019-11-20,525
2019-11-21,522
2019-11-22,524
2019-11-23,525
2019-11-24,522
2019-11-25,525
2019-11-26,522
2019-11-27,523
2019-11-28,522
2019-11-29,521
2019-11-30,525
2019-12-01,522
2019-12-02,525
2019-12-03,523
2019-12-04,521
2019-12-05,523
2019-12-06,521
2019-12-07,522
2019-12-08,521
2019-12-09,520
2019-12-10,524
2019-12-11,525
2019-12-12,523
2019-12-13,523
2019-12-14,520
2019-12-15,524
2019-12-16,521
2019-12-17,524
2019-12-18,521
2019-12-19,525
2019-12-20,521
2019-12-21,525
2019-12-22,523
2019-12-23,523
2019-12-24,521
2019-12-25,525
2019-12-26,521
2019-12-27,525
2019-12-28,524
2019-12-29,524
2019-12-30,521
2019-12-31,521
2020-01-01,522
2020-01-02,522
2020-01-03,525
2020-01-04,523
2020-01-05,524
2020-01-06,521
2020-01-07,524
2020-01-08,524
2020-01-09,522
2020-01-10,523
2020-01-11,522
2020-01-12,521
2020-01-13,523
2020-01-14,521
2020-01-15,525
2020-01-16,524
2020-01-17,523
2020-01-18,525
2020-01-19,521
2020-01-20,524
2020-01-21,523
2020-01-22,522
2020-01-23,524
2020-01-24,520
2020-01-25,521
2020-01-26,521
2020-01-27,524
2020-01-28,523
2020-01-29,521
2020-01-30,523
2020-01-31,520
2020-02-01,522
2020-02-02,523
2020-02-03,523
2020-02-04,523
2020-02-05,521
2020-02-06,523
2020-02-07,525
2020-02-08,521
2020-02-09,523
2020-02-10,520
2020-02-11,521
2020-02-12,525
2020-02-13,523
2020-02-14,521
2020-02-15,521
2020-02-16,520
2020-02-17,522
2020-02-18,521
2020-02-19,520
2020-02-20,522
2020-02-21,523
2020-02-22,520
