Date,GDP
2019-04-30,771.4
2019-05-01,762.2
2019-05-02,722.9
2019-05-03,693.3
2019-05-04,651.2
2019-05-05,642.2
2019-05-06,630.0
2019-05-07,624.5
2019-05-08,600.0
2019-05-09,623.3
2019-05-10,649.0
2019-05-11,613.2
2019-05-12,602.2
2019-05-13,621.1
2019-05-14,650.0
2019-05-15,663.3
2019-05-16,672.3
2019-05-17,683.3
2019-05-18,691.2
2019-05-19,700.0
2019-05-20,660.0
2019-05-21,684.5
2019-05-22,671.1
2019-05-23,645.5
2019-05-24,650.0
2019-05-25,638.7
2019-05-26,642.2
2019-05-27,658.9
2019-05-28,660.0
2019-05-29,680.0
2019-05-30,700.0
2019-05-31,686.5
2019-06-01,652.2
2019-06-02,648.9
2019-06-03,639.8
2019-06-04,656.7
2019-06-05,666.0
2019-06-06,648.8
2019-06-07,645.6
2019-06-08,689.0
2019-06-09,708.0
2019-06-10,726.5
2019-06-11,774.3
2019-06-12,792.8
2019-06-13,801.5
2019-06-14,773.2
2019-06-15,832.1
2019-06-16,801.2
2019-06-17,810.0
2019-06-18,879.8
2019-06-19,863.4
2019-06-20,900.0
2019-06-21,936.0
2019-06-22,964.6
2019-06-23,924.5
2019-06-24,901.2
2019-06-25,968.7
2019-06-26,935.4
2019-06-27,920.8
2019-06-28,983.0
2019-06-29,989.6
2019-06-30,992.0
2019-07-01,943.4
2019-07-02,924.3
2019-07-03,905.0
2019-07-04,954.5
2019-07-05,876.7
2019-07-06,885.4
2019-07-07,882.3
2019-07-08,870.0
2019-07-09,872.8
2019-07-10,878.3
2019-07-11,885.6
2019-07-12,864.8
2019-07-13,870.0
2019-07-14,882.3
2019-07-15,860.0
2019-07-16,854.5
2019-07-17,870.0
2019-07-18,862.9
2019-07-19,850.0
2019-07-20,858.8
2019-07-21,860.0
2019-07-22,870.0
2019-07-23,883.3
2019-07-24,862.2
2019-07-25,840.0
2019-07-26,854.4
2019-07-27,862.0
2019-07-28,843.3
2019-07-29,812.2
2019-07-30,802.2
2019-07-31,782.3
2019-08-01,784.4
2019-08-02,765.5
2019-08-03,754.3
2019-08-04,760.0
2019-08-05,740.0
2019-08-06,750.0
2019-08-07,752.2
2019-08-08,743.9
2019-08-09,732.8
2019-08-10,720.0
2019-08-11,719.8
2019-08-12,702.4
2019-08-13,721.2
2019-08-14,742.4
2019-08-15,754.3
2019-08-16,764.3
2019-08-17,721.1
2019-08-18,734.4
2019-08-19,769.8
2019-08-20,752.3
2019-08-21,770.0
2019-08-22,790.0
