Date,GDP
2019-09-10,207
2019-09-11,204
2019-09-12,205
2019-09-13,206
2019-09-14,209
2019-09-15,208
2019-09-16,209
2019-09-17,208
2019-09-18,208
2019-09-19,203
2019-09-20,210
2019-09-21,203
2019-09-22,207
2019-09-23,210
2019-09-24,201
2019-09-25,203
2019-09-26,202
2019-09-27,207
2019-09-28,200
2019-09-29,203
2019-09-30,209
2019-10-01,200
2019-10-02,203
2019-10-03,210
2019-10-04,200
2019-10-05,208
2019-10-06,202
2019-10-07,200
2019-10-08,202
2019-10-09,209
2019-10-10,203
2019-10-11,209
2019-10-12,202
2019-10-13,209
2019-10-14,210
2019-10-15,210
2019-10-16,202
2019-10-17,208
2019-10-18,210
2019-10-19,209
2019-10-20,204
2019-10-21,200
2019-10-22,210
2019-10-23,200
2019-10-24,202
2019-10-25,206
2019-10-26,200
2019-10-27,201
2019-10-28,204
2019-10-29,205
2019-10-30,200
2019-10-31,202
2019-11-01,201
2019-11-02,206
2019-11-03,201
2019-11-04,210
2019-11-05,207
2019-11-06,204
2019-11-07,210
2019-11-08,204
2019-11-09,206
2019-11-10,225
2019-11-11,230
2019-11-12,230
2019-11-13,229
2019-11-14,226
2019-11-15,228
2019-11-16,225
2019-11-17,228
2019-11-18,228
2019-11-19,225
2019-11-20,228
2019-11-21,230
2019-11-22,228
2019-11-23,226
2019-11-24,225
2019-11-25,227
2019-11-26,228
2019-11-27,225
2019-11-28,225
2019-11-29,225
2019-11-30,229
2019-12-01,228
2019-12-02,226
2019-12-03,225
2019-12-04,227
2019-12-05,227
2019-12-06,227
2019-12-07,227
2019-12-08,230
2019-12-09,230
2019-12-10,225
2019-12-11,225
2019-12-12,230
2019-12-13,229
2019-12-14,228
2019-12-15,226
2019-12-16,229
2019-12-17,226
2019-12-18,230
2019-12-19,229
2019-12-20,229
2019-12-21,227
2019-12-22,227
2019-12-23,225
2019-12-24,225
2019-12-25,225
2019-12-26,214
2019-12-27,210
2019-12-28,210
2019-12-29,215
2019-12-30,215
2019-12-31,211
2020-01-01,211
2020-01-02,215
2020-01-03,211
2020-01-04,212
2020-01-05,215
2020-01-06,213
2020-01-07,215
2020-01-08,215
2020-01-09,210
2020-01-10,215
2020-01-11,210
2020-01-12,214
2020-01-13,210
2020-01-14,215
2020-01-15,214
2020-01-16,213
2020-01-17,211
2020-01-18,210
2020-01-19,213
2020-01-20,213
2020-01-21,214
2020-01-22,212
2020-01-23,211
2020-01-24,212
2020-01-25,210
2020-01-26,212
2020-01-27,215
2020-01-28,212
2020-01-29,210
2020-01-30,214
2020-01-31,213
2020-02-01,213
2020-02-02,213
2020-02-03,214
2020-02-04,211
2020-02-05,212
2020-02-06,214
2020-02-07,212
2020-02-08,211
2020-02-09,212
2020-02-10,210
2020-02-11,213
2020-02-12,214
2020-02-13,210
2020-02-14,214
2020-02-15,210
2020-02-16,210
2020-02-17,213
2020-02-18,214
2020-02-19,213
2020-02-20,220
2020-02-21,220
2020-02-22,225
2020-02-23,223
2020-02-24,220
2020-02-25,225
2020-02-26,222
2020-02-27,222
2020-02-28,220
2020-02-29,222
2020-03-01,220
2020-03-02,220
2020-03-03,221
2020-03-04,222
2020-03-05,220
2020-03-06,223
2020-03-07,223
2020-03-08,221
2020-03-09,225
2020-03-10,221
2020-03-11,224
2020-03-12,220
2020-03-13,221
2020-03-14,222
2020-03-15,221
2020-03-16,223
2020-03-17,221
2020-03-18,225
2020-03-19,223
2020-03-20,224
2020-03-21,225
2020-03-22,224
2020-03-23,221
2020-03-24,220
2020-03-25,224
2020-03-26,221
2020-03-27,221
2020-03-28,224
2020-03-29,222
2020-03-30,221
2020-03-31,222
2020-04-01,220
2020-04-02,224
2020-04-03,223
2020-04-04,225
2020-04-05,220
2020-04-06,224
2020-04-07,224
2020-04-08,224
2020-04-09,221
2020-04-10,223
2020-04-11,222
2020-04-12,221
2020-04-13,220
2020-04-14,224
2020-04-15,224
2020-04-16,238
2020-04-17,240
2020-04-18,238
2020-04-19,238
2020-04-20,239
2020-04-21,237
2020-04-22,238
2020-04-23,239
2020-04-24,240
2020-04-25,236
2020-04-26,239
2020-04-27,237
2020-04-28,240
2020-04-29,240
2020-04-30,237
2020-05-01,239
2020-05-02,235
2020-05-03,236
2020-05-04,240
2020-05-05,237
2020-05-06,238
2020-05-07,236
2020-05-08,236
2020-05-09,240
2020-05-10,235
2020-05-11,240
2020-05-12,240
2020-05-13,238
2020-05-14,237
2020-05-15,238
2020-05-16,240
2020-05-17,236
2020-05-18,238
2020-05-19,239
2020-05-20,237
2020-05-21,236
2020-05-22,238
2020-05-23,238
2020-05-24,238
2020-05-25,239
2020-05-26,236
2020-05-27,236
2020-05-28,240
2020-05-29,239
2020-05-30,238
2020-05-31,239
2020-06-01,239
2020-06-02,239
2020-06-03,235
2020-06-04,237
2020-06-05,236
2020-06-06,236
2020-06-07,240
2020-06-08,237
2020-06-09,235
2020-06-10,235
2020-06-11,236
2020-06-12,240
2020-06-13,238
2020-06-14,238
2020-06-15,239
2020-06-16,235
2020-06-17,238
2020-06-18,236
2020-06-19,238
2020-06-20,239
2020-06-21,239
2020-06-22,236
2020-06-23,240
2020-06-24,240
2020-06-25,239
2020-06-26,239
2020-06-27,235
2020-06-28,235
2020-06-29,237
2020-06-30,240
2020-07-01,238
2020-07-02,236
2020-07-03,237
2020-07-04,239
