Date,GDP
2019-04-30,207
2019-05-01,204
2019-05-02,205
2019-05-03,206
2019-05-04,209
2019-05-05,208
2019-05-06,209
2019-05-07,208
2019-05-08,208
2019-05-09,203
2019-05-10,210
2019-05-11,203
2019-05-12,207
2019-05-13,210
2019-05-14,201
2019-05-15,203
2019-05-16,202
2019-05-17,207
2019-05-18,200
2019-05-19,203
2019-05-20,209
2019-05-21,200
2019-05-22,203
2019-05-23,210
2019-05-24,200
2019-05-25,208
2019-05-26,202
2019-05-27,200
2019-05-28,202
2019-05-29,209
2019-05-30,203
2019-05-31,209
2019-06-01,202
2019-06-02,209
2019-06-03,210
2019-06-04,210
2019-06-05,202
2019-06-06,208
2019-06-07,210
2019-06-08,209
2019-06-09,204
2019-06-10,200
2019-06-11,210
2019-06-12,200
2019-06-13,202
2019-06-14,206
2019-06-15,200
2019-06-16,201
2019-06-17,204
2019-06-18,205
2019-06-19,200
2019-06-20,202
2019-06-21,201
2019-06-22,206
2019-06-23,201
2019-06-24,210
2019-06-25,207
2019-06-26,204
2019-06-27,210
2019-06-28,204
2019-06-29,206
2019-06-30,225
2019-07-01,230
2019-07-02,230
2019-07-03,229
2019-07-04,226
2019-07-05,228
2019-07-06,225
2019-07-07,228
2019-07-08,228
2019-07-09,225
2019-07-10,228
2019-07-11,230
2019-07-12,228
2019-07-13,226
2019-07-14,225
2019-07-15,227
2019-07-16,228
2019-07-17,225
2019-07-18,225
2019-07-19,225
2019-07-20,229
2019-07-21,228
2019-07-22,226
2019-07-23,225
2019-07-24,227
2019-07-25,227
2019-07-26,227
2019-07-27,227
2019-07-28,230
2019-07-29,230
2019-07-30,225
2019-07-31,225
2019-08-01,230
2019-08-02,229
2019-08-03,228
2019-08-04,226
2019-08-05,229
2019-08-06,226
2019-08-07,230
2019-08-08,229
2019-08-09,229
2019-08-10,227
2019-08-11,227
2019-08-12,225
2019-08-13,225
2019-08-14,225
2019-08-15,214
2019-08-16,210
2019-08-17,210
2019-08-18,215
2019-08-19,215
2019-08-20,211
2019-08-21,211
2019-08-22,215
2019-08-23,211
2019-08-24,212
2019-08-25,215
2019-08-26,213
2019-08-27,215
2019-08-28,215
2019-08-29,210
2019-08-30,215
2019-08-31,210
2019-09-01,214
2019-09-02,210
2019-09-03,215
2019-09-04,214
2019-09-05,213
2019-09-06,211
2019-09-07,210
2019-09-08,213
2019-09-09,213
2019-09-10,214
2019-09-11,212
2019-09-12,211
2019-09-13,212
2019-09-14,210
2019-09-15,212
2019-09-16,215
2019-09-17,212
2019-09-18,210
2019-09-19,214
2019-09-20,213
2019-09-21,213
2019-09-22,213
2019-09-23,214
2019-09-24,211
2019-09-25,212
2019-09-26,214
2019-09-27,212
2019-09-28,211
2019-09-29,212
2019-09-30,210
2019-10-01,213
2019-10-02,214
2019-10-03,210
2019-10-04,214
2019-10-05,210
2019-10-06,210
2019-10-07,213
2019-10-08,214
2019-10-09,213
2019-10-10,220
2019-10-11,220
2019-10-12,225
2019-10-13,223
2019-10-14,220
2019-10-15,225
2019-10-16,222
2019-10-17,222
2019-10-18,220
2019-10-19,222
2019-10-20,220
2019-10-21,220
2019-10-22,221
2019-10-23,222
2019-10-24,220
2019-10-25,223
2019-10-26,223
2019-10-27,221
2019-10-28,225
2019-10-29,221
2019-10-30,224
2019-10-31,220
2019-11-01,221
2019-11-02,222
2019-11-03,221
2019-11-04,223
2019-11-05,221
2019-11-06,225
2019-11-07,223
2019-11-08,224
2019-11-09,225
2019-11-10,224
2019-11-11,221
2019-11-12,220
2019-11-13,224
2019-11-14,221
2019-11-15,221
2019-11-16,224
2019-11-17,222
2019-11-18,221
2019-11-19,222
2019-11-20,220
2019-11-21,224
2019-11-22,223
2019-11-23,225
2019-11-24,220
2019-11-25,224
2019-11-26,224
2019-11-27,224
2019-11-28,221
2019-11-29,223
2019-11-30,222
2019-12-01,221
2019-12-02,220
2019-12-03,224
2019-12-04,224
2019-12-05,238
2019-12-06,240
2019-12-07,238
2019-12-08,238
2019-12-09,239
2019-12-10,237
2019-12-11,238
2019-12-12,239
2019-12-13,240
2019-12-14,236
2019-12-15,239
2019-12-16,237
2019-12-17,240
2019-12-18,240
2019-12-19,237
2019-12-20,239
2019-12-21,235
2019-12-22,236
2019-12-23,240
2019-12-24,237
2019-12-25,238
2019-12-26,236
2019-12-27,236
2019-12-28,240
2019-12-29,235
2019-12-30,240
2019-12-31,240
2020-01-01,238
2020-01-02,237
2020-01-03,238
2020-01-04,240
2020-01-05,236
2020-01-06,238
2020-01-07,239
2020-01-08,237
2020-01-09,236
2020-01-10,238
2020-01-11,238
2020-01-12,238
2020-01-13,239
2020-01-14,236
2020-01-15,236
2020-01-16,240
2020-01-17,239
2020-01-18,238
2020-01-19,239
2020-01-20,239
2020-01-21,239
2020-01-22,235
2020-01-23,237
2020-01-24,236
2020-01-25,236
2020-01-26,240
2020-01-27,237
2020-01-28,235
2020-01-29,235
2020-01-30,236
2020-01-31,240
2020-02-01,238
2020-02-02,238
2020-02-03,239
2020-02-04,235
2020-02-05,238
2020-02-06,236
2020-02-07,238
2020-02-08,239
2020-02-09,239
2020-02-10,236
2020-02-11,240
2020-02-12,240
2020-02-13,239
2020-02-14,239
2020-02-15,235
2020-02-16,235
2020-02-17,237
2020-02-18,240
2020-02-19,238
2020-02-20,236
2020-02-21,237
2020-02-22,239
