Date,GDP
2019-09-10,305
2019-09-11,310
2019-09-12,312
2019-09-13,306
2019-09-14,308
2019-09-15,311
2019-09-16,307
2019-09-17,307
2019-09-18,308
2019-09-19,308
2019-09-20,308
2019-09-21,308
2019-09-22,307
2019-09-23,306
2019-09-24,306
2019-09-25,304
2019-09-26,303
2019-09-27,306
2019-09-28,301
2019-09-29,301
2019-09-30,303
2019-10-01,299
2019-10-02,305
2019-10-03,300
2019-10-04,305
2019-10-05,299
2019-10-06,306
2019-10-07,304
2019-10-08,305
2019-10-09,301
2019-10-10,300
2019-10-11,302
2019-10-12,301
2019-10-13,306
2019-10-14,302
2019-10-15,307
2019-10-16,302
2019-10-17,305
2019-10-18,302
2019-10-19,302
2019-10-20,302
2019-10-21,304
2019-10-22,303
2019-10-23,304
2019-10-24,307
2019-10-25,302
2019-10-26,304
2019-10-27,303
2019-10-28,306
2019-10-29,303
2019-10-30,306
2019-10-31,307
2019-11-01,304
2019-11-02,302
2019-11-03,308
2019-11-04,302
2019-11-05,306
2019-11-06,314
2019-11-07,314
2019-11-08,315
2019-11-09,315
2019-11-10,314
2019-11-11,315
2019-11-12,313
2019-11-13,313
2019-11-14,315
2019-11-15,313
2019-11-16,313
2019-11-17,310
2019-11-18,310
2019-11-19,315
2019-11-20,311
2019-11-21,310
2019-11-22,314
2019-11-23,313
2019-11-24,310
2019-11-25,310
2019-11-26,315
2019-11-27,314
2019-11-28,311
2019-11-29,313
2019-11-30,314
2019-12-01,313
2019-12-02,315
2019-12-03,316
2019-12-04,319
2019-12-05,317
2019-12-06,318
2019-12-07,320
2019-12-08,313
2019-12-09,317
2019-12-10,316
2019-12-11,320
2019-12-12,313
2019-12-13,320
2019-12-14,314
2019-12-15,319
2019-12-16,313
2019-12-17,319
2019-12-18,313
2019-12-19,315
2019-12-20,313
2019-12-21,318
2019-12-22,308
2019-12-23,309
2019-12-24,308
2019-12-25,306
2019-12-26,303
2019-12-27,306
2019-12-28,307
2019-12-29,303
2019-12-30,309
2019-12-31,307
2020-01-01,307
2020-01-02,303
2020-01-03,308
2020-01-04,305
2020-01-05,303
2020-01-06,304
2020-01-07,307
2020-01-08,308
2020-01-09,307
2020-01-10,307
2020-01-11,309
2020-01-12,299
2020-01-13,299
2020-01-14,301
2020-01-15,304
2020-01-16,304
2020-01-17,301
2020-01-18,299
2020-01-19,303
2020-01-20,301
2020-01-21,302
2020-01-22,299
2020-01-23,300
2020-01-24,303
2020-01-25,301
2020-01-26,302
2020-01-27,303
2020-01-28,300
2020-01-29,304
2020-01-30,302
2020-01-31,300
2020-02-01,304
2020-02-02,299
2020-02-03,302
2020-02-04,301
2020-02-05,301
2020-02-06,301
2020-02-07,303
2020-02-08,301
2020-02-09,302
2020-02-10,299
2020-02-11,309
2020-02-12,313
2020-02-13,307
2020-02-14,307
2020-02-15,309
2020-02-16,312
2020-02-17,312
2020-02-18,308
2020-02-19,312
2020-02-20,310
2020-02-21,309
2020-02-22,310
2020-02-23,312
2020-02-24,310
2020-02-25,310
2020-02-26,308
2020-02-27,313
2020-02-28,313
2020-02-29,312
2020-03-01,313
2020-03-02,310
2020-03-03,312
2020-03-04,316
2020-03-05,314
2020-03-06,314
2020-03-07,315
2020-03-08,315
2020-03-09,314
2020-03-10,312
2020-03-11,317
2020-03-12,312
2020-03-13,314
2020-03-14,312
2020-03-15,318
2020-03-16,315
2020-03-17,316
2020-03-18,316
2020-03-19,317
2020-03-20,316
2020-03-21,314
2020-03-22,312
2020-03-23,318
2020-03-24,318
2020-03-25,317
2020-03-26,312
2020-03-27,314
2020-03-28,318
2020-03-29,312
2020-03-30,313
2020-03-31,316
2020-04-01,315
2020-04-02,312
2020-04-03,318
2020-04-04,314
2020-04-05,317
2020-04-06,315
2020-04-07,312
2020-04-08,312
2020-04-09,316
2020-04-10,315
2020-04-11,315
2020-04-12,315
2020-04-13,314
2020-04-14,314
2020-04-15,313
2020-04-16,315
2020-04-17,313
2020-04-18,322
2020-04-19,323
2020-04-20,324
2020-04-21,319
2020-04-22,323
2020-04-23,322
2020-04-24,323
2020-04-25,323
2020-04-26,318
2020-04-27,324
2020-04-28,317
2020-04-29,321
2020-04-30,321
2020-05-01,321
2020-05-02,317
2020-05-03,317
2020-05-04,320
2020-05-05,316
2020-05-06,322
2020-05-07,324
2020-05-08,316
2020-05-09,311
2020-05-10,313
2020-05-11,311
2020-05-12,311
2020-05-13,312
2020-05-14,311
2020-05-15,314
2020-05-16,315
2020-05-17,310
2020-05-18,312
2020-05-19,316
2020-05-20,315
2020-05-21,313
2020-05-22,312
2020-05-23,311
2020-05-24,312
2020-05-25,312
2020-05-26,313
2020-05-27,311
2020-05-28,316
2020-05-29,312
2020-05-30,314
2020-05-31,314
2020-06-01,314
2020-06-02,310
2020-06-03,311
2020-06-04,308
2020-06-05,308
2020-06-06,312
2020-06-07,311
2020-06-08,308
2020-06-09,312
2020-06-10,309
2020-06-11,308
2020-06-12,308
2020-06-13,311
2020-06-14,310
2020-06-15,308
2020-06-16,309
2020-06-17,305
2020-06-18,307
2020-06-19,307
2020-06-20,306
2020-06-21,306
2020-06-22,308
2020-06-23,304
2020-06-24,308
2020-06-25,304
2020-06-26,304
2020-06-27,308
2020-06-28,304
2020-06-29,304
2020-06-30,306
2020-07-01,308
2020-07-02,306
2020-07-03,305
2020-07-04,304
2020-07-05,305
