Date,GDP
2019-09-10,616
2019-09-11,618
2019-09-12,617
2019-09-13,615
2019-09-14,611
2019-09-15,617
2019-09-16,617
2019-09-17,618
2019-09-18,614
2019-09-19,617
2019-09-20,611
2019-09-21,618
2019-09-22,615
2019-09-23,612
2019-09-24,613
2019-09-25,613
2019-09-26,617
2019-09-27,615
2019-09-28,613
2019-09-29,611
2019-09-30,616
2019-10-01,617
2019-10-02,616
2019-10-03,614
2019-10-04,615
2019-10-05,617
2019-10-06,614
2019-10-07,622
2019-10-08,619
2019-10-09,621
2019-10-10,621
2019-10-11,621
2019-10-12,618
2019-10-13,619
2019-10-14,620
2019-10-15,619
2019-10-16,618
2019-10-17,618
2019-10-18,623
2019-10-19,622
2019-10-20,623
2019-10-21,620
2019-10-22,620
2019-10-23,619
2019-10-24,622
2019-10-25,621
2019-10-26,623
2019-10-27,619
2019-10-28,618
2019-10-29,623
2019-10-30,618
2019-10-31,635
2019-11-01,632
2019-11-02,633
2019-11-03,635
2019-11-04,630
2019-11-05,630
2019-11-06,633
2019-11-07,632
2019-11-08,635
2019-11-09,633
2019-11-10,632
2019-11-11,631
2019-11-12,631
2019-11-13,634
2019-11-14,633
2019-11-15,635
2019-11-16,635
2019-11-17,635
2019-11-18,634
2019-11-19,631
2019-11-20,630
2019-11-21,630
2019-11-22,630
2019-11-23,633
2019-11-24,635
2019-11-25,634
2019-11-26,632
2019-11-27,635
2019-11-28,631
2019-11-29,631
2019-11-30,636
2019-12-01,635
2019-12-02,636
2019-12-03,635
2019-12-04,639
2019-12-05,635
2019-12-06,639
2019-12-07,638
2019-12-08,634
2019-12-09,634
2019-12-10,639
2019-12-11,638
2019-12-12,638
2019-12-13,636
2019-12-14,639
2019-12-15,637
2019-12-16,634
2019-12-17,636
2019-12-18,636
2019-12-19,638
2019-12-20,638
2019-12-21,638
2019-12-22,626
2019-12-23,631
2019-12-24,626
2019-12-25,629
2019-12-26,631
2019-12-27,628
2019-12-28,628
2019-12-29,625
2019-12-30,630
2019-12-31,626
2020-01-01,627
2020-01-02,627
2020-01-03,626
2020-01-04,631
2020-01-05,629
2020-01-06,630
2020-01-07,626
2020-01-08,631
2020-01-09,629
2020-01-10,630
2020-01-11,628
2020-01-12,631
2020-01-13,629
2020-01-14,625
2020-01-15,629
2020-01-16,630
2020-01-17,625
2020-01-18,626
2020-01-19,631
2020-01-20,620
2020-01-21,620
2020-01-22,616
2020-01-23,616
2020-01-24,616
2020-01-25,621
2020-01-26,619
2020-01-27,616
2020-01-28,619
2020-01-29,620
2020-01-30,617
2020-01-31,617
2020-02-01,618
2020-02-02,619
2020-02-03,618
2020-02-04,622
2020-02-05,622
2020-02-06,618
2020-02-07,616
2020-02-08,620
2020-02-09,616
2020-02-10,620
2020-02-11,617
2020-02-12,616
2020-02-13,632
2020-02-14,637
2020-02-15,633
2020-02-16,633
2020-02-17,635
2020-02-18,636
2020-02-19,635
2020-02-20,633
2020-02-21,632
2020-02-22,636
2020-02-23,633
2020-02-24,633
2020-02-25,636
2020-02-26,637
2020-02-27,634
2020-02-28,636
2020-02-29,634
2020-03-01,637
2020-03-02,632
2020-03-03,645
2020-03-04,637
2020-03-05,639
2020-03-06,636
2020-03-07,636
2020-03-08,640
2020-03-09,636
2020-03-10,636
2020-03-11,639
2020-03-12,636
2020-03-13,638
2020-03-14,637
2020-03-15,637
2020-03-16,639
2020-03-17,639
2020-03-18,640
2020-03-19,637
2020-03-20,640
2020-03-21,636
2020-03-22,637
2020-03-23,637
2020-03-24,640
2020-03-25,640
2020-03-26,636
2020-03-27,638
2020-03-28,638
2020-03-29,639
2020-03-30,639
2020-03-31,626
2020-04-01,628
2020-04-02,629
2020-04-03,628
2020-04-04,628
2020-04-05,630
2020-04-06,625
2020-04-07,625
2020-04-08,629
2020-04-09,626
2020-04-10,627
2020-04-11,629
2020-04-12,628
2020-04-13,626
2020-04-14,630
2020-04-15,627
2020-04-16,625
2020-04-17,650
2020-04-18,649
2020-04-19,614
2020-04-20,613
2020-04-21,616
2020-04-22,613
2020-04-23,614
2020-04-24,611
2020-04-25,612
2020-04-26,611
2020-04-27,612
2020-04-28,616
2020-04-29,612
2020-04-30,614
2020-05-01,611
2020-05-02,615
2020-05-03,612
2020-05-04,615
2020-05-05,613
2020-05-06,615
2020-05-07,628
2020-05-08,628
2020-05-09,633
2020-05-10,632
2020-05-11,625
2020-05-12,631
2020-05-13,626
2020-05-14,632
2020-05-15,627
2020-05-16,628
2020-05-17,628
2020-05-18,631
2020-05-19,626
2020-05-20,629
2020-05-21,628
2020-05-22,625
2020-05-23,632
2020-05-24,630
2020-05-25,630
2020-05-26,629
2020-05-27,633
2020-05-28,626
2020-05-29,630
2020-05-30,630
2020-05-31,625
2020-06-01,626
2020-06-02,638
2020-06-03,636
2020-06-04,635
2020-06-05,640
2020-06-06,635
2020-06-07,639
2020-06-08,639
2020-06-09,636
2020-06-10,635
2020-06-11,640
2020-06-12,639
2020-06-13,637
2020-06-14,639
2020-06-15,635
2020-06-16,637
2020-06-17,636
2020-06-18,638
2020-06-19,635
2020-06-20,639
2020-06-21,640
2020-06-22,641
2020-06-23,640
2020-06-24,636
2020-06-25,637
2020-06-26,637
2020-06-27,641
2020-06-28,641
2020-06-29,639
2020-06-30,641
2020-07-01,637
2020-07-02,639
2020-07-03,640
2020-07-04,635
2020-07-05,640
