Date,GDP
2019-09-10,1504
2019-09-11,1505
2019-09-12,1504
2019-09-13,1504
2019-09-14,1505
2019-09-15,1504
2019-09-16,1502
2019-09-17,1503
2019-09-18,1500
2019-09-19,1503
2019-09-20,1505
2019-09-21,1503
2019-09-22,1500
2019-09-23,1502
2019-09-24,1501
2019-09-25,1504
2019-09-26,1501
2019-09-27,1504
2019-09-28,1505
2019-09-29,1504
2019-09-30,1504
2019-10-01,1500
2019-10-02,1501
2019-10-03,1505
2019-10-04,1504
2019-10-05,1501
2019-10-06,1502
2019-10-07,1500
2019-10-08,1503
2019-10-09,1502
2019-10-10,1500
2019-10-11,1502
2019-10-12,1504
2019-10-13,1504
2019-10-14,1500
2019-10-15,1505
2019-10-16,1504
2019-10-17,1501
2019-10-18,1500
2019-10-19,1505
2019-10-20,1502
2019-10-21,1503
2019-10-22,1505
2019-10-23,1501
2019-10-24,1501
2019-10-25,1501
2019-10-26,1502
2019-10-27,1502
2019-10-28,1502
2019-10-29,1502
2019-10-30,1503
2019-10-31,1500
2019-11-01,1505
2019-11-02,1502
2019-11-03,1501
2019-11-04,1503
2019-11-05,1505
2019-11-06,1501
2019-11-07,1500
2019-11-08,1502
2019-11-09,1505
2019-11-10,1501
2019-11-11,1503
2019-11-12,1501
2019-11-13,1504
2019-11-14,1505
2019-11-15,1500
2019-11-16,1503
2019-11-17,1503
2019-11-18,1505
2019-11-19,1503
2019-11-20,1501
2019-11-21,1505
2019-11-22,1502
2019-11-23,1505
2019-11-24,1503
2019-11-25,1502
2019-11-26,1503
2019-11-27,1505
2019-11-28,1504
2019-11-29,1504
2019-11-30,1505
2019-12-01,1504
2019-12-02,1503
2019-12-03,1505
2019-12-04,1503
2019-12-05,1504
2019-12-06,1502
2019-12-07,1500
2019-12-08,1501
2019-12-09,1502
2019-12-10,1505
2019-12-11,1500
2019-12-12,1503
2019-12-13,1502
2019-12-14,1501
2019-12-15,1504
2019-12-16,1500
2019-12-17,1504
2019-12-18,1503
2019-12-19,1504
2019-12-20,1502
