Date,GDP
2019-04-30,1201
2019-05-01,1200.9
2019-05-02,1200.8
2019-05-03,1200.1
2019-05-04,1207.8
2019-05-05,1208.9
2019-05-06,1210
2019-05-07,1217.8
2019-05-08,1218.9
2019-05-09,1216.4
2019-05-10,1214.4
2019-05-11,1217.8
2019-05-12,1219.8
2019-05-13,1220
2019-05-14,1230
2019-05-15,1234.5
2019-05-16,1240
2019-05-17,1248
2019-05-18,1250
2019-05-19,1254
2019-05-20,1252
2019-05-21,1260
2019-05-22,1265.4
2019-05-23,1265
2019-05-24,1270
2019-05-25,1288.4
2019-05-26,1288.8
2019-05-27,1289.3
2019-05-28,1289.1
2019-05-29,1289.7
2019-05-30,1288.6
2019-05-31,1288.1
2019-06-01,1288.9
2019-06-02,1288.3
2019-06-03,1289.2
2019-06-04,1289.3
2019-06-05,1288.7
2019-06-06,1289.6
2019-06-07,1289.4
2019-06-08,1289.2
2019-06-09,1288.5
2019-06-10,1288.6
2019-06-11,1288.2
2019-06-12,1288.3
2019-06-13,1288
2019-06-14,1289.4
2019-06-15,1289.7
2019-06-16,1289.6
2019-06-17,1288.9
2019-06-18,1288.5
2019-06-19,1288.8
2019-06-20,1289.8
2019-06-21,1289.5
2019-06-22,1288.1
2019-06-23,1270
2019-06-24,1250
2019-06-25,1240
2019-06-26,1238
2019-06-27,1235
2019-06-28,1220
2019-06-29,1210
2019-06-30,1140
2019-07-01,1100
2019-07-02,1140
2019-07-03,1090
2019-07-04,1160
2019-07-05,1120
2019-07-06,1190
2019-07-07,1250
2019-07-08,1220
2019-07-09,1150
2019-07-10,1190
2019-07-11,1160
2019-07-12,1180
2019-07-13,1190
2019-07-14,1140
2019-07-15,1220
2019-07-16,1180
2019-07-17,1170
2019-07-18,1140
2019-07-19,1190
2019-07-20,1170
2019-07-21,1220
2019-07-22,1240
2019-07-23,1290
2019-07-24,1270
2019-07-25,1260
2019-07-26,1220
2019-07-27,1140
2019-07-28,1190
2019-07-29,1180
2019-07-30,1130
2019-07-31,1170
2019-08-01,1190
2019-08-02,1210
2019-08-03,1250
2019-08-04,1280
2019-08-05,1310
2019-08-06,1340
2019-08-07,1390
2019-08-08,1450
2019-08-09,1430
2019-08-10,1390
2019-08-11,1410
2019-08-12,1470
2019-08-13,1460
2019-08-14,1510
2019-08-15,1530
2019-08-16,1540
2019-08-17,1550
2019-08-18,1520
2019-08-19,1550
2019-08-20,1540
2019-08-21,1560
2019-08-22,1620
2019-08-23,1650
2019-08-24,1670
2019-08-25,1720
2019-08-26,1680
2019-08-27,1710
2019-08-28,1680
2019-08-29,1710
2019-08-30,1690
2019-08-31,1650
2019-09-01,1680
2019-09-02,1650
2019-09-03,1610
2019-09-04,1650
2019-09-05,1590
2019-09-06,1580
2019-09-07,1540
2019-09-08,1580
2019-09-09,1570
2019-09-10,1540
2019-09-11,1530
2019-09-12,1490
2019-09-13,1470
2019-09-14,1450
2019-09-15,1410
2019-09-16,1440
2019-09-17,1430
2019-09-18,1450
2019-09-19,1410
2019-09-20,1380
2019-09-21,1370
2019-09-22,1320
2019-09-23,1360
2019-09-24,1340
2019-09-25,1310
2019-09-26,1350
2019-09-27,1340
2019-09-28,1390
2019-09-29,1410
2019-09-30,1390
2019-10-01,1390
2019-10-02,1340
2019-10-03,1330
2019-10-04,1380
2019-10-05,1370
2019-10-06,1350
2019-10-07,1310
2019-10-08,1310
2019-10-09,1350
2019-10-10,1340
2019-10-11,1310
2019-10-12,1390
2019-10-13,1350
