Date,GDP
2019-09-10,1009
2019-09-11,1009
2019-09-12,1010
2019-09-13,1007
2019-09-14,1008
2019-09-15,1010
2019-09-16,1006
2019-09-17,1009
2019-09-18,1005
2019-09-19,1008
2019-09-20,1008
2019-09-21,1007
2019-09-22,1008
2019-09-23,1006
2019-09-24,1007
2019-09-25,1007
2019-09-26,1010
2019-09-27,1010
2019-09-28,1007
2019-09-29,1005
2019-09-30,1008
2019-10-01,1005
2019-10-02,1008
2019-10-03,1006
2019-10-04,1009
2019-10-05,1005
2019-10-06,1007
2019-10-07,1005
2019-10-08,1008
2019-10-09,1007
2019-10-10,1005
2019-10-11,1005
2019-10-12,1007
2019-10-13,1010
2019-10-14,1006
2019-10-15,1007
2019-10-16,1008
2019-10-17,1007
2019-10-18,1005
2019-10-19,1005
2019-10-20,1008
2019-10-21,1005
2019-10-22,1006
2019-10-23,1009
2019-10-24,1006
2019-10-25,1004
2019-10-26,1001
2019-10-27,1003
2019-10-28,1000
2019-10-29,1005
2019-10-30,1005
2019-10-31,1001
2019-11-01,1003
2019-11-02,1004
2019-11-03,1004
2019-11-04,1000
2019-11-05,1004
2019-11-06,1003
2019-11-07,1002
2019-11-08,1002
2019-11-09,1003
2019-11-10,1001
2019-11-11,1004
2019-11-12,1000
2019-11-13,1005
2019-11-14,1001
2019-11-15,1004
2019-11-16,1003
2019-11-17,1004
2019-11-18,1003
2019-11-19,1005
2019-11-20,1002
2019-11-21,1004
2019-11-22,1003
2019-11-23,1003
2019-11-24,1005
2019-11-25,1003
2019-11-26,1005
2019-11-27,1002
2019-11-28,1004
2019-11-29,1005
2019-11-30,1001
2019-12-01,1000
2019-12-02,1001
2019-12-03,1004
2019-12-04,1001
2019-12-05,1005
2019-12-06,1001
2019-12-07,1000
2019-12-08,1002
2019-12-09,1020
2019-12-10,1015
2019-12-11,1017
2019-12-12,1016
2019-12-13,1015
2019-12-14,1015
2019-12-15,1019
2019-12-16,1016
2019-12-17,1019
2019-12-18,1015
2019-12-19,1019
2019-12-20,1016
2019-12-21,1016
2019-12-22,1018
2019-12-23,1016
2019-12-24,1015
2019-12-25,1017
2019-12-26,1015
2019-12-27,1020
2019-12-28,1016
2019-12-29,1015
2019-12-30,1020
2019-12-31,1016
2020-01-01,1017
2020-01-02,1020
2020-01-03,1018
2020-01-04,1018
2020-01-05,1019
2020-01-06,1015
2020-01-07,1015
2020-01-08,1017
2020-01-09,1016
2020-01-10,1016
2020-01-11,1017
2020-01-12,1015
2020-01-13,1016
2020-01-14,1019
2020-01-15,1015
2020-01-16,1018
2020-01-17,1020
2020-01-18,1015
2020-01-19,1015
2020-01-20,1015
2020-01-21,1018
2020-01-22,1020
2020-01-23,1016
2020-01-24,1019
2020-01-25,1016
2020-01-26,1017
2020-01-27,1018
2020-01-28,1015
2020-01-29,1017
2020-01-30,1017
2020-01-31,1019
2020-02-01,1017
2020-02-02,1019
2020-02-03,1019
2020-02-04,1018
2020-02-05,1017
2020-02-06,1015
2020-02-07,1019
2020-02-08,1015
2020-02-09,1016
2020-02-10,1015
2020-02-11,1016
2020-02-12,1020
2020-02-13,1020
2020-02-14,1024
2020-02-15,1020
2020-02-16,1024
2020-02-17,1025
2020-02-18,1023
2020-02-19,1024
2020-02-20,1020
2020-02-21,1024
2020-02-22,1025
2020-02-23,1023
2020-02-24,1021
2020-02-25,1024
2020-02-26,1024
2020-02-27,1025
2020-02-28,1020
2020-02-29,1024
2020-03-01,1020
2020-03-02,1025
2020-03-03,1021
2020-03-04,1025
2020-03-05,1024
2020-03-06,1023
2020-03-07,1021
2020-03-08,1024
2020-03-09,1022
2020-03-10,1024
2020-03-11,1020
2020-03-12,1021
2020-03-13,1021
2020-03-14,1023
2020-03-15,1020
2020-03-16,1025
2020-03-17,1022
2020-03-18,1022
2020-03-19,1021
2020-03-20,1020
2020-03-21,1025
2020-03-22,1020
2020-03-23,1021
2020-03-24,1024
2020-03-25,1021
2020-03-26,1025
2020-03-27,1020
2020-03-28,1023
2020-03-29,1025
2020-03-30,1020
2020-03-31,1024
2020-04-01,1031
2020-04-02,1031
2020-04-03,1032
2020-04-04,1034
2020-04-05,1031
2020-04-06,1035
2020-04-07,1033
2020-04-08,1034
2020-04-09,1030
2020-04-10,1035
2020-04-11,1030
2020-04-12,1034
2020-04-13,1031
2020-04-14,1033
2020-04-15,1035
2020-04-16,1035
2020-04-17,1034
2020-04-18,1033
2020-04-19,1032
2020-04-20,1032
2020-04-21,1032
2020-04-22,1035
2020-04-23,1031
2020-04-24,1034
2020-04-25,1035
2020-04-26,1031
2020-04-27,1033
2020-04-28,1035
2020-04-29,1033
2020-04-30,1032
2020-05-01,1035
