Date,GDP
2019-09-10,459
2019-09-11,300
2019-09-12,400
2019-09-13,432
2019-09-14,345
2019-09-15,543
2019-09-16,555
2019-09-17,213
2019-09-18,210
2019-09-19,200
2019-09-20,200
2019-09-21,310
2019-09-22,320
2019-09-23,322
2019-09-24,432
2019-09-25,430
2019-09-26,450
2019-09-27,440
2019-09-28,210
2019-09-29,209
2019-09-30,309
2019-10-01,322
2019-10-02,345
2019-10-03,543
2019-10-04,550
2019-10-05,589
2019-10-06,567
2019-10-07,596
2019-10-08,543
2019-10-09,544
2019-10-10,230
2019-10-11,330
2019-10-12,450
2019-10-13,320
2019-10-14,320
2019-10-15,320
2019-10-16,430
2019-10-17,432
2019-10-18,429
2019-10-19,419
2019-10-20,456
2019-10-21,554
2019-10-22,553
2019-10-23,554
2019-10-24,543
2019-10-25,554
2019-10-26,321
2019-10-27,444
2019-10-28,432
2019-10-29,432
2019-10-30,453
2019-10-31,444
2019-11-01,321
2019-11-02,332
2019-11-03,312
2019-11-04,345
2019-11-05,453
2019-11-06,333
2019-11-07,321
2019-11-08,312
2019-11-09,345
2019-11-10,543
2019-11-11,365
2019-11-12,345
2019-11-13,321
2019-11-14,400
2019-11-15,410
2019-11-16,423
2019-11-17,444
2019-11-18,412
2019-11-19,421
2019-11-20,433
2019-11-21,442
2019-11-22,443
2019-11-23,445
2019-11-24,446
2019-11-25,432
2019-11-26,478
2019-11-27,467
2019-11-28,487
2019-11-29,466
2019-11-30,498
2019-12-01,488
2019-12-02,489
2019-12-03,467
2019-12-04,468
2019-12-05,469
2019-12-06,458
2019-12-07,496
2019-12-08,450
2019-12-09,322
2019-12-10,367
2019-12-11,355
2019-12-12,346
2019-12-13,378
2019-12-14,387
2019-12-15,368
2019-12-16,378
2019-12-17,398
2019-12-18,366
2019-12-19,355
2019-12-20,399
2019-12-21,320
2019-12-22,432
2019-12-23,413
2019-12-24,411
2019-12-25,415
2019-12-26,419
2019-12-27,449
2019-12-28,448
2019-12-29,443
2019-12-30,409
2019-12-31,406
2020-01-01,309
2020-01-02,308
2020-01-03,550
2020-01-04,506
2020-01-05,577
2020-01-06,589
2020-01-07,554
2020-01-08,553
2020-01-09,509
2020-01-10,508
2020-01-11,567
2020-01-12,543
2020-01-13,613
2020-01-14,623
2020-01-15,645
2020-01-16,667
2020-01-17,622
2020-01-18,648
2020-01-19,654
2020-01-20,660
2020-01-21,550
2020-01-22,543
2020-01-23,552
2020-01-24,537
2020-01-25,567
2020-01-26,543
2020-01-27,523
2020-01-28,557
2020-01-29,587
2020-01-30,568
2020-01-31,589
2020-02-01,543
2020-02-02,559
2020-02-03,557
2020-02-04,544
2020-02-05,564
2020-02-06,459
2020-02-07,300
2020-02-08,400
2020-02-09,432
2020-02-10,345
2020-02-11,543
2020-02-12,555
2020-02-13,213
2020-02-14,210
2020-02-15,200
2020-02-16,200
2020-02-17,310
2020-02-18,320
2020-02-19,322
2020-02-20,432
2020-02-21,430
2020-02-22,450
2020-02-23,440
2020-02-24,210
2020-02-25,209
2020-02-26,309
2020-02-27,322
2020-02-28,345
2020-02-29,543
2020-03-01,550
2020-03-02,589
2020-03-03,567
2020-03-04,596
2020-03-05,543
2020-03-06,544
2020-03-07,230
2020-03-08,330
2020-03-09,450
2020-03-10,320
2020-03-11,320
2020-03-12,320
2020-03-13,430
2020-03-14,432
2020-03-15,429
2020-03-16,419
2020-03-17,456
2020-03-18,554
2020-03-19,553
2020-03-20,554
2020-03-21,543
2020-03-22,554
2020-03-23,321
2020-03-24,444
2020-03-25,432
2020-03-26,432
2020-03-27,453
2020-03-28,444
2020-03-29,321
2020-03-30,332
2020-03-31,312
2020-04-01,345
2020-04-02,453
2020-04-03,333
2020-04-04,321
2020-04-05,312
2020-04-06,345
2020-04-07,543
2020-04-08,365
2020-04-09,345
2020-04-10,321
2020-04-11,400
2020-04-12,410
2020-04-13,423
2020-04-14,444
2020-04-15,412
2020-04-16,421
2020-04-17,433
2020-04-18,442
2020-04-19,443
2020-04-20,445
2020-04-21,446
2020-04-22,432
2020-04-23,478
2020-04-24,467
2020-04-25,487
2020-04-26,466
2020-04-27,498
2020-04-28,488
2020-04-29,489
2020-04-30,467
2020-05-01,468
2020-05-02,469
2020-05-03,458
2020-05-04,496
2020-05-05,450
2020-05-06,322
2020-05-07,367
2020-05-08,355
2020-05-09,346
2020-05-10,378
2020-05-11,387
2020-05-12,368
2020-05-13,378
2020-05-14,398
2020-05-15,366
2020-05-16,355
2020-05-17,399
2020-05-18,320
2020-05-19,432
2020-05-20,413
2020-05-21,411
2020-05-22,415
2020-05-23,419
2020-05-24,449
2020-05-25,448
2020-05-26,443
2020-05-27,409
2020-05-28,406
2020-05-29,309
2020-05-30,308
2020-05-31,550
2020-06-01,506
2020-06-02,577
2020-06-03,589
2020-06-04,554
2020-06-05,553
2020-06-06,509
2020-06-07,508
2020-06-08,567
2020-06-09,543
2020-06-10,613
2020-06-11,623
2020-06-12,645
2020-06-13,667
2020-06-14,622
2020-06-15,648
2020-06-16,654
2020-06-17,660
2020-06-18,550
2020-06-19,543
2020-06-20,552
2020-06-21,537
2020-06-22,567
2020-06-23,543
2020-06-24,523
2020-06-25,557
2020-06-26,587
2020-06-27,568
2020-06-28,589
2020-06-29,543
2020-06-30,559
2020-07-01,557
2020-07-02,544
2020-07-03,564
2020-07-04,504
