Date,GDP
2019-09-10,57
2019-09-11,58.5
2019-09-12,58.6
2019-09-13,58.7
2019-09-14,58.9
2019-09-15,60
2019-09-16,59.9
2019-09-17,59.8
2019-09-18,59.9
2019-09-19,58
2019-09-20,57
2019-09-21,56
2019-09-22,56
2019-09-23,57.8
2019-09-24,58.8
2019-09-25,59.9
2019-09-26,60
2019-09-27,62
2019-09-28,58
2019-09-29,59
2019-09-30,57
2019-10-01,56
2019-10-02,55
2019-10-03,56
2019-10-04,57
2019-10-05,56
2019-10-06,58
2019-10-07,58
2019-10-08,58.9
2019-10-09,54
2019-10-10,56
2019-10-11,59
2019-10-12,57
2019-10-13,57
2019-10-14,54
2019-10-15,57
2019-10-16,57
2019-10-17,54
2019-10-18,53
2019-10-19,56
2019-10-20,55
2019-10-21,55
2019-10-22,55.6
2019-10-23,55.7
2019-10-24,55.9
2019-10-25,56.1
2019-10-26,55.7
2019-10-27,58.9
2019-10-28,56.7
2019-10-29,58.7
2019-10-30,59.2
2019-10-31,59.7
2019-11-01,59.9
2019-11-02,60.22
2019-11-03,61.1
2019-11-04,58.2
2019-11-05,59.1
2019-11-06,57.2
2019-11-07,57.1
2019-11-08,58.4
2019-11-09,57.2
2019-11-10,57.8
2019-11-11,56.4
2019-11-12,55.9
2019-11-13,56
2019-11-14,57.1
2019-11-15,57.55
2019-11-16,57.59
2019-11-17,57.88
2019-11-18,58.22
2019-11-19,58.56
2019-11-20,58.88
2019-11-21,58.91
2019-11-22,58.54
2019-11-23,57.989
2019-11-24,58.88
2019-11-25,58.87
2019-11-26,58.76
2019-11-27,58.44
2019-11-28,56
2019-11-29,55
2019-11-30,57.87
2019-12-01,58.88
2019-12-02,58.98
2019-12-03,58.98
2019-12-04,59.989
2019-12-05,58.76
2019-12-06,58.989
2019-12-07,57
2019-12-08,56
2019-12-09,56
2019-12-10,55
2019-12-11,54
2019-12-12,55
2019-12-13,56
2019-12-14,56
2019-12-15,56
2019-12-16,55
2019-12-17,57
2019-12-18,55
2019-12-19,56
2019-12-20,57
2019-12-21,58
2019-12-22,58
2019-12-23,59
2019-12-24,60
2019-12-25,61
2019-12-26,60
2019-12-27,60
2019-12-28,59
2019-12-29,58
2019-12-30,59
2019-12-31,60
2020-01-01,58
2020-01-02,57
2020-01-03,58
2020-01-04,59
2020-01-05,57
2020-01-06,59
2020-01-07,56
2020-01-08,55
2020-01-09,56
2020-01-10,55
2020-01-11,56
2020-01-12,55
2020-01-13,58
2020-01-14,59
2020-01-15,57
2020-01-16,56
2020-01-17,55
2020-01-18,58
2020-01-19,59
2020-01-20,59
2020-01-21,58
2020-01-22,58
2020-01-23,57
2020-01-24,56
2020-01-25,56
2020-01-26,57
2020-01-27,56
2020-01-28,57
2020-01-29,58
2020-01-30,59
2020-01-31,56
2020-02-01,59
2020-02-02,57
2020-02-03,57
2020-02-04,57
2020-02-05,57
2020-02-06,57
2020-02-07,56
2020-02-08,55
2020-02-09,54
2020-02-10,52
2020-02-11,53
2020-02-12,54
2020-02-13,54
2020-02-14,55
2020-02-15,56
2020-02-16,56
2020-02-17,56
2020-02-18,56
2020-02-19,57
2020-02-20,57
2020-02-21,56
2020-02-22,57
2020-02-23,58
2020-02-24,58
2020-02-25,58
2020-02-26,57
2020-02-27,58
2020-02-28,57
2020-02-29,56
2020-03-01,58
2020-03-02,59
2020-03-03,58
2020-03-04,58
2020-03-05,57
2020-03-06,58
2020-03-07,57
2020-03-08,59
2020-03-09,60
2020-03-10,59
2020-03-11,58
2020-03-12,56
2020-03-13,57
2020-03-14,58
2020-03-15,58
2020-03-16,59
2020-03-17,58
2020-03-18,57
2020-03-19,57
2020-03-20,58
2020-03-21,58
2020-03-22,59
2020-03-23,59
2020-03-24,57
2020-03-25,58
2020-03-26,58
2020-03-27,59
2020-03-28,59
2020-03-29,60
2020-03-30,61
2020-03-31,60
2020-04-01,62
2020-04-02,60
2020-04-03,59
2020-04-04,58
2020-04-05,57
2020-04-06,58
2020-04-07,58
2020-04-08,58
2020-04-09,59
2020-04-10,58
2020-04-11,59
2020-04-12,59
2020-04-13,58
2020-04-14,57
2020-04-15,58
2020-04-16,58
2020-04-17,58
2020-04-18,58
2020-04-19,59
2020-04-20,60
2020-04-21,61
2020-04-22,62
2020-04-23,61
2020-04-24,62
2020-04-25,60
2020-04-26,59
2020-04-27,58
2020-04-28,58
2020-04-29,59
2020-04-30,60
2020-05-01,61
2020-05-02,62
2020-05-03,59
2020-05-04,58
2020-05-05,58
2020-05-06,57
2020-05-07,58
2020-05-08,57
2020-05-09,58
2020-05-10,59
2020-05-11,60
2020-05-12,61
2020-05-13,62
2020-05-14,59
2020-05-15,58
2020-05-16,59
2020-05-17,58
2020-05-18,60
2020-05-19,62
2020-05-20,59
2020-05-21,58
2020-05-22,58
2020-05-23,57
2020-05-24,57
2020-05-25,57
2020-05-26,57
2020-05-27,56
2020-05-28,56
2020-05-29,56
2020-05-30,56
2020-05-31,56
2020-06-01,56
2020-06-02,55
2020-06-03,54
2020-06-04,53
2020-06-05,52
2020-06-06,54
2020-06-07,54
2020-06-08,56
2020-06-09,55
2020-06-10,56
2020-06-11,56
2020-06-12,57
2020-06-13,57
2020-06-14,58
2020-06-15,59
2020-06-16,59
2020-06-17,60
2020-06-18,59.9
2020-06-19,58
2020-06-20,56
2020-06-21,57
2020-06-22,58
2020-06-23,59
2020-06-24,59
2020-06-25,60
2020-06-26,62.78
2020-06-27,59.98
2020-06-28,61.74
2020-06-29,61.78
2020-06-30,60.98
2020-07-01,60.56
2020-07-02,61.98
2020-07-03,59
2020-07-04,60
