Date,GDP
2019-04-30,253
2019-05-01,260
2019-05-02,259
2019-05-03,256
2019-05-04,250
2019-05-05,251
2019-05-06,255
2019-05-07,255
2019-05-08,253
2019-05-09,252
2019-05-10,250
2019-05-11,252
2019-05-12,250
2019-05-13,252
2019-05-14,250
2019-05-15,251
2019-05-16,252
2019-05-17,259
2019-05-18,251
2019-05-19,259
2019-05-20,260
2019-05-21,252
2019-05-22,259
2019-05-23,252
2019-05-24,252
2019-05-25,256
2019-05-26,250
2019-05-27,255
2019-05-28,250
2019-05-29,260
2019-05-30,251
2019-05-31,257
2019-06-01,253
2019-06-02,255
2019-06-03,252
2019-06-04,258
2019-06-05,253
2019-06-06,255
2019-06-07,252
2019-06-08,253
2019-06-09,252
2019-06-10,252
2019-06-11,253
2019-06-12,254
2019-06-13,253
2019-06-14,252
2019-06-15,253
2019-06-16,250
2019-06-17,256
2019-06-18,252
2019-06-19,253
2019-06-20,251
2019-06-21,260
2019-06-22,256
2019-06-23,280
2019-06-24,272
2019-06-25,280
2019-06-26,280
2019-06-27,272
2019-06-28,270
2019-06-29,278
2019-06-30,275
2019-07-01,278
2019-07-02,277
2019-07-03,271
2019-07-04,277
2019-07-05,272
2019-07-06,276
2019-07-07,272
2019-07-08,277
2019-07-09,278
2019-07-10,274
2019-07-11,278
2019-07-12,276
2019-07-13,279
2019-07-14,276
2019-07-15,273
2019-07-16,278
2019-07-17,276
2019-07-18,274
2019-07-19,271
2019-07-20,270
2019-07-21,271
2019-07-22,276
2019-07-23,272
2019-07-24,274
2019-07-25,276
2019-07-26,272
2019-07-27,277
2019-07-28,278
2019-07-29,279
2019-07-30,279
2019-07-31,278
2019-08-01,275
2019-08-02,278
2019-08-03,280
2019-08-04,279
2019-08-05,274
2019-08-06,275
2019-08-07,272
2019-08-08,280
2019-08-09,278
2019-08-10,279
2019-08-11,280
2019-08-12,270
2019-08-13,274
2019-08-14,270
2019-08-15,279
2019-08-16,277
2019-08-17,277
2019-08-18,273
2019-08-19,274
2019-08-20,270
2019-08-21,279
2019-08-22,278
2019-08-23,278
2019-08-24,280
2019-08-25,273
2019-08-26,279
2019-08-27,271
2019-08-28,280
2019-08-29,275
2019-08-30,275
2019-08-31,270
2019-09-01,274
2019-09-02,275
2019-09-03,272
2019-09-04,279
2019-09-05,271
2019-09-06,280
2019-09-07,271
2019-09-08,271
2019-09-09,279
2019-09-10,272
2019-09-11,278
2019-09-12,276
2019-09-13,277
2019-09-14,275
2019-09-15,280
2019-09-16,276
2019-09-17,278
2019-09-18,276
2019-09-19,272
2019-09-20,272
2019-09-21,272
2019-09-22,271
2019-09-23,279
2019-09-24,280
2019-09-25,272
2019-09-26,277
2019-09-27,273
2019-09-28,276
2019-09-29,280
2019-09-30,280
2019-10-01,277
2019-10-02,276
2019-10-03,280
2019-10-04,274
2019-10-05,278
2019-10-06,279
2019-10-07,280
2019-10-08,275
2019-10-09,270
2019-10-10,277
2019-10-11,277
2019-10-12,280
2019-10-13,275
2019-10-14,272
2019-10-15,276
2019-10-16,278
2019-10-17,270
2019-10-18,286
2019-10-19,287
2019-10-20,286
2019-10-21,282
2019-10-22,284
2019-10-23,287
2019-10-24,286
2019-10-25,286
2019-10-26,284
2019-10-27,289
2019-10-28,283
2019-10-29,285
2019-10-30,284
2019-10-31,284
2019-11-01,284
2019-11-02,280
2019-11-03,281
2019-11-04,280
2019-11-05,283
2019-11-06,287
2019-11-07,290
2019-11-08,288
2019-11-09,289
2019-11-10,284
2019-11-11,286
2019-11-12,286
2019-11-13,289
2019-11-14,286
2019-11-15,283
2019-11-16,286
2019-11-17,288
2019-11-18,281
2019-11-19,287
2019-11-20,282
2019-11-21,288
2019-11-22,280
2019-11-23,284
2019-11-24,281
2019-11-25,284
2019-11-26,285
2019-11-27,285
2019-11-28,280
2019-11-29,282
2019-11-30,281
2019-12-01,290
2019-12-02,290
2019-12-03,281
2019-12-04,281
2019-12-05,287
2019-12-06,288
2019-12-07,282
2019-12-08,286
2019-12-09,297
2019-12-10,300
2019-12-11,293
2019-12-12,292
2019-12-13,296
2019-12-14,295
2019-12-15,295
2019-12-16,299
2019-12-17,296
2019-12-18,293
2019-12-19,291
2019-12-20,293
2019-12-21,290
2019-12-22,291
2019-12-23,299
2019-12-24,297
2019-12-25,298
2019-12-26,290
2019-12-27,290
2019-12-28,298
2019-12-29,293
2019-12-30,297
2019-12-31,294
2020-01-01,290
2020-01-02,290
2020-01-03,295
2020-01-04,297
2020-01-05,297
2020-01-06,295
2020-01-07,292
2020-01-08,300
2020-01-09,294
2020-01-10,291
2020-01-11,298
2020-01-12,299
2020-01-13,296
2020-01-14,294
2020-01-15,291
2020-01-16,299
2020-01-17,297
2020-01-18,295
2020-01-19,290
2020-01-20,300
2020-01-21,291
2020-01-22,290
2020-01-23,299
2020-01-24,299
2020-01-25,291
2020-01-26,296
2020-01-27,290
2020-01-28,292
2020-01-29,298
2020-01-30,298
2020-01-31,299
2020-02-01,231
2020-02-02,235
2020-02-03,240
2020-02-04,235
2020-02-05,240
2020-02-06,238
2020-02-07,234
2020-02-08,235
2020-02-09,239
2020-02-10,239
2020-02-11,233
2020-02-12,235
2020-02-13,236
2020-02-14,239
2020-02-15,237
2020-02-16,235
2020-02-17,236
2020-02-18,231
2020-02-19,232
2020-02-20,235
2020-02-21,233
2020-02-22,230
