Date,GDP
2019-09-10,503
2019-09-11,504
2019-09-12,502
2019-09-13,503
2019-09-14,505
2019-09-15,501
2019-09-16,502
2019-09-17,500
2019-09-18,503
2019-09-19,502
2019-09-20,504
2019-09-21,503
2019-09-22,502
2019-09-23,501
2019-09-24,501
2019-09-25,500
2019-09-26,505
2019-09-27,500
2019-09-28,502
2019-09-29,505
2019-09-30,500
2019-10-01,503
2019-10-02,505
2019-10-03,500
2019-10-04,503
2019-10-05,501
2019-10-06,502
2019-10-07,505
2019-10-08,501
2019-10-09,502
2019-10-10,504
2019-10-11,504
2019-10-12,501
2019-10-13,503
2019-10-14,505
2019-10-15,505
2019-10-16,504
2019-10-17,514
2019-10-18,514
2019-10-19,512
2019-10-20,515
2019-10-21,513
2019-10-22,510
2019-10-23,513
2019-10-24,513
2019-10-25,512
2019-10-26,513
2019-10-27,513
2019-10-28,514
2019-10-29,511
2019-10-30,515
2019-10-31,514
2019-11-01,513
2019-11-02,510
2019-11-03,512
2019-11-04,510
2019-11-05,511
2019-11-06,513
2019-11-07,513
2019-11-08,515
2019-11-09,513
2019-11-10,510
2019-11-11,513
2019-11-12,514
2019-11-13,513
2019-11-14,514
2019-11-15,511
2019-11-16,514
2019-11-17,511
2019-11-18,515
2019-11-19,515
2019-11-20,515
2019-11-21,514
2019-11-22,510
2019-11-23,513
2019-11-24,510
2019-11-25,511
2019-11-26,510
2019-11-27,513
2019-11-28,514
2019-11-29,515
2019-11-30,515
2019-12-01,515
2019-12-02,511
2019-12-03,510
2019-12-04,513
2019-12-05,515
2019-12-06,515
2019-12-07,515
2019-12-08,511
2019-12-09,512
2019-12-10,513
2019-12-11,512
2019-12-12,514
2019-12-13,513
2019-12-14,510
2019-12-15,515
2019-12-16,512
2019-12-17,510
2019-12-18,513
2019-12-19,510
2019-12-20,513
2019-12-21,515
2019-12-22,514
2019-12-23,514
2019-12-24,512
2019-12-25,510
2019-12-26,512
2019-12-27,515
2019-12-28,515
2019-12-29,513
2019-12-30,511
2019-12-31,514
2020-01-01,514
2020-01-02,514
2020-01-03,515
2020-01-04,515
2020-01-05,514
2020-01-06,513
2020-01-07,512
2020-01-08,512
2020-01-09,510
2020-01-10,512
2020-01-11,512
2020-01-12,513
2020-01-13,511
2020-01-14,512
2020-01-15,513
2020-01-16,511
2020-01-17,515
2020-01-18,514
2020-01-19,515
2020-01-20,510
2020-01-21,510
2020-01-22,514
2020-01-23,511
2020-01-24,510
2020-01-25,510
2020-01-26,512
2020-01-27,513
2020-01-28,510
2020-01-29,511
2020-01-30,512
2020-01-31,513
2020-02-01,511
2020-02-02,513
2020-02-03,513
2020-02-04,513
2020-02-05,510
2020-02-06,510
2020-02-07,515
2020-02-08,513
2020-02-09,510
2020-02-10,515
2020-02-11,515
2020-02-12,512
2020-02-13,515
2020-02-14,514
2020-02-15,514
2020-02-16,534
2020-02-17,535
2020-02-18,530
2020-02-19,535
2020-02-20,533
2020-02-21,531
2020-02-22,531
2020-02-23,531
2020-02-24,534
2020-02-25,531
2020-02-26,533
2020-02-27,531
2020-02-28,530
2020-02-29,533
2020-03-01,531
2020-03-02,533
2020-03-03,532
2020-03-04,530
2020-03-05,534
2020-03-06,534
2020-03-07,534
2020-03-08,532
2020-03-09,534
2020-03-10,533
2020-03-11,532
2020-03-12,535
2020-03-13,532
2020-03-14,531
2020-03-15,532
2020-03-16,533
2020-03-17,534
2020-03-18,532
2020-03-19,534
2020-03-20,530
2020-03-21,532
2020-03-22,534
2020-03-23,530
2020-03-24,534
2020-03-25,534
2020-03-26,534
2020-03-27,532
2020-03-28,530
2020-03-29,530
2020-03-30,531
2020-03-31,531
2020-04-01,535
2020-04-02,533
2020-04-03,531
2020-04-04,535
2020-04-05,533
2020-04-06,531
2020-04-07,535
2020-04-08,535
2020-04-09,533
2020-04-10,534
2020-04-11,532
2020-04-12,530
2020-04-13,531
2020-04-14,533
2020-04-15,531
2020-04-16,533
2020-04-17,530
2020-04-18,530
2020-04-19,530
2020-04-20,531
2020-04-21,535
2020-04-22,534
2020-04-23,532
2020-04-24,530
2020-04-25,534
2020-04-26,535
2020-04-27,530
2020-04-28,534
2020-04-29,535
2020-04-30,530
2020-05-01,532
2020-05-02,530
2020-05-03,535
2020-05-04,530
2020-05-05,534
2020-05-06,534
2020-05-07,531
2020-05-08,530
2020-05-09,531
2020-05-10,535
2020-05-11,535
2020-05-12,532
2020-05-13,530
2020-05-14,533
2020-05-15,535
2020-05-16,534
2020-05-17,535
2020-05-18,535
2020-05-19,532
2020-05-20,534
2020-05-21,533
2020-05-22,531
2020-05-23,530
2020-05-24,534
2020-05-25,533
2020-05-26,532
2020-05-27,532
2020-05-28,531
2020-05-29,530
2020-05-30,535
2020-05-31,530
2020-06-01,534
2020-06-02,535
2020-06-03,535
2020-06-04,535
2020-06-05,534
2020-06-06,533
2020-06-07,534
2020-06-08,531
2020-06-09,531
2020-06-10,530
2020-06-11,523
2020-06-12,521
2020-06-13,525
2020-06-14,524
2020-06-15,520
2020-06-16,524
2020-06-17,522
2020-06-18,525
2020-06-19,523
2020-06-20,523
2020-06-21,522
2020-06-22,522
2020-06-23,522
2020-06-24,525
2020-06-25,524
2020-06-26,524
2020-06-27,522
2020-06-28,524
2020-06-29,523
2020-06-30,520
2020-07-01,523
2020-07-02,525
2020-07-03,524
2020-07-04,522
2020-07-05,
2020-07-06,
