Date,GDP
2019-09-10,1065
2019-09-11,1068
2019-09-12,1060
2019-09-13,1065
2019-09-14,1063
2019-09-15,1061
2019-09-16,1064
2019-09-17,1063
2019-09-18,1065
2019-09-19,1063
2019-09-20,1065
2019-09-21,1063
2019-09-22,1063
2019-09-23,1064
2019-09-24,1065
2019-09-25,1064
2019-09-26,1062
2019-09-27,1062
2019-09-28,1063
2019-09-29,1062
2019-09-30,1062
2019-10-01,1066
2019-10-02,1064
2019-10-03,1069
2019-10-04,1066
2019-10-05,1066
2019-10-06,1069
2019-10-07,1068
2019-10-08,1065
2019-10-09,1068
2019-10-10,1065
2019-10-11,1065
2019-10-12,1064
2019-10-13,1066
2019-10-14,1064
2019-10-15,1066
2019-10-16,1064
2019-10-17,1064
2019-10-18,1068
2019-10-19,1067
2019-10-20,1073
2019-10-21,1071
2019-10-22,1072
2019-10-23,1073
2019-10-24,1075
2019-10-25,1076
2019-10-26,1076
2019-10-27,1074
2019-10-28,1076
2019-10-29,1071
2019-10-30,1075
2019-10-31,1076
2019-11-01,1073
2019-11-02,1076
2019-11-03,1069
2019-11-04,1072
2019-11-05,1070
2019-11-06,1068
2019-11-07,1069
2019-11-08,1073
2019-11-09,1072
2019-11-10,1072
2019-11-11,1073
2019-11-12,1074
2019-11-13,1071
2019-11-14,1074
2019-11-15,1072
2019-11-16,1067
2019-11-17,1074
2019-11-18,1074
2019-11-19,1071
2019-11-20,1074
2019-11-21,1072
2019-11-22,1068
2019-11-23,1062
2019-11-24,1061
2019-11-25,1065
2019-11-26,1063
2019-11-27,1061
2019-11-28,1061
2019-11-29,1061
2019-11-30,1062
2019-12-01,1065
2019-12-02,1065
2019-12-03,1071
2019-12-04,1070
2019-12-05,1065
2019-12-06,1067
2019-12-07,1066
2019-12-08,1068
2019-12-09,1066
2019-12-10,1069
2019-12-11,1065
2019-12-12,1068
2019-12-13,1071
2019-12-14,1069
2019-12-15,1069
2019-12-16,1069
2019-12-17,1069
2019-12-18,1067
2019-12-19,1068
2019-12-20,1077
2019-12-21,1078
2019-12-22,1076
2019-12-23,1078
2019-12-24,1076
2019-12-25,1075
2019-12-26,1075
2019-12-27,1077
2019-12-28,1079
2019-12-29,1079
2019-12-30,1076
2019-12-31,1074
2020-01-01,1073
2020-01-02,1078
2020-01-03,1073
2020-01-04,1078
2020-01-05,1074
2020-01-06,1077
2020-01-07,1073
2020-01-08,1074
2020-01-09,1077
2020-01-10,1084
2020-01-11,1077
2020-01-12,1083
2020-01-13,1082
2020-01-14,1078
2020-01-15,1079
2020-01-16,1077
2020-01-17,1077
2020-01-18,1079
2020-01-19,1082
2020-01-20,1084
2020-01-21,1082
2020-01-22,1082
2020-01-23,1080
2020-01-24,1081
2020-01-25,1081
2020-01-26,1080
2020-01-27,1079
2020-01-28,1078
2020-01-29,1077
2020-01-30,1083
2020-01-31,1083
2020-02-01,1084
2020-02-02,1084
2020-02-03,1085
2020-02-04,1085
2020-02-05,1085
2020-02-06,1083
2020-02-07,1083
2020-02-08,1082
2020-02-09,1082
2020-02-10,1085
2020-02-11,1084
2020-02-12,1086
2020-02-13,1082
2020-02-14,1082
2020-02-15,1087
2020-02-16,1082
2020-02-17,1086
2020-02-18,1082
2020-02-19,1082
2020-02-20,1086
2020-02-21,1085
2020-02-22,1085
2020-02-23,1083
2020-02-24,1083
2020-02-25,1086
2020-02-26,1083
2020-02-27,1076
2020-02-28,1080
2020-02-29,1077
2020-03-01,1080
2020-03-02,1078
2020-03-03,1073
2020-03-04,1081
2020-03-05,1072
2020-03-06,1072
2020-03-07,1076
2020-03-08,1075
2020-03-09,1081
2020-03-10,1081
2020-03-11,1076
2020-03-12,1072
2020-03-13,1076
2020-03-14,1075
2020-03-15,1083
2020-03-16,1071
2020-03-17,1071
2020-03-18,1071
2020-03-19,1068
2020-03-20,1068
2020-03-21,1069
2020-03-22,1070
2020-03-23,1071
2020-03-24,1072
2020-03-25,1070
2020-03-26,1072
2020-03-27,1071
2020-03-28,1069
2020-03-29,1068
2020-03-30,1070
2020-03-31,1073
2020-04-01,1068
2020-04-02,1068
2020-04-03,1069
2020-04-04,1070
2020-04-05,1070
2020-04-06,1072
2020-04-07,1071
2020-04-08,1068
2020-04-09,1068
2020-04-10,1063
2020-04-11,1065
2020-04-12,1065
2020-04-13,1063
2020-04-14,1061
2020-04-15,1063
2020-04-16,1067
2020-04-17,1064
2020-04-18,1064
2020-04-19,1065
2020-04-20,1066
2020-04-21,1066
2020-04-22,1064
2020-04-23,1061
2020-04-24,1067
2020-04-25,1062
2020-04-26,1067
2020-04-27,1067
2020-04-28,1067
2020-04-29,1065
2020-04-30,1067
2020-05-01,1067
2020-05-02,1065
2020-05-03,1067
2020-05-04,1065
2020-05-05,1071
2020-05-06,1072
2020-05-07,1076
2020-05-08,1073
2020-05-09,1075
2020-05-10,1076
2020-05-11,1072
2020-05-12,1076
2020-05-13,1071
2020-05-14,1072
2020-05-15,1071
2020-05-16,1074
2020-05-17,1075
2020-05-18,1074
2020-05-19,1072
2020-05-20,1069
2020-05-21,1077
2020-05-22,1071
2020-05-23,1070
2020-05-24,1076
2020-05-25,1074
2020-05-26,1072
2020-05-27,1073
2020-05-28,1071
2020-05-29,1074
2020-05-30,1069
2020-05-31,1084
2020-06-01,1078
2020-06-02,1078
2020-06-03,1079
2020-06-04,1076
2020-06-05,1082
2020-06-06,1077
2020-06-07,1082
2020-06-08,1072
2020-06-09,1073
2020-06-10,1074
2020-06-11,1075
2020-06-12,1082
2020-06-13,1080
2020-06-14,1076
2020-06-15,1080
2020-06-16,1075
2020-06-17,1076
2020-06-18,1084
2020-06-19,1082
2020-06-20,1088
2020-06-21,1085
2020-06-22,1088
2020-06-23,1081
2020-06-24,1084
2020-06-25,1081
2020-06-26,1087
2020-06-27,1087
2020-06-28,1083
2020-06-29,1085
2020-06-30,1082
2020-07-01,1083
2020-07-02,1088
2020-07-03,1081
2020-07-04,1082
2020-07-05,1086
2020-07-06,500
